Year,Make,Model,Car Name,Wheel Drive,Colour,Odometer,Inv,VIN,Retail,Price
2015,Cadillac,ATS Sedan Standard RWD RWD,Cadillac ATS,RWD,Red,26375,I,1G6AA5RA0F0101173,AUTO,18300
2015,Cadillac,ATS Sedan Standard AWD AWD,Cadillac ATS,AWD,Silver,74953,I,1G6AG5RX5F0130901,AUTO,16500
2015,Cadillac,SRX Base FWD,Cadillac SRX,FWD,Black,77716,I,3GYFNAE32FS598009,AUTO,19700
2015,Chevrolet,Cruze 2LT FWD,Chevrolet Cruze,FWD,Silver,54586,I,1G1PE5SB3F7282686,AUTO,15300
2015,Chevrolet,Cruze 2LT FWD,Chevrolet Cruze,FWD,BROWN,91073,I,1G1PE5SB1F7244731,AUTO,10900
2015,Chevrolet,Equinox LS AWD,Chevrolet Equinox,AWD,P8163,78940,H,2GNFLEEK7F6363623,AUTO,15995
2015,Chevrolet,Impala LT Rental FWD,Chevrolet Impala,FWD,Silver,102532,I,2G1125S3XF9178539,AUTO,14995
2015,Chevrolet,Trax LTZ FWD,Chevrolet Trax,FWD,Silver,39667,I,3GNCJNSB3FL157062,AUTO,16400
2015,Chrysler,200 C All Wheel Drive,Chrysler 200,AWD,Billet Metallic,58451,I,1C3CCCEG0FN549189,AUTO,15995
2015,Chrysler,200 LX FWD,Chrysler 200,FWD,Grey,71059,I,1C3CCCFB9FN615404,AUTO,12900
2015,Chrysler,Town & Country S FWD,Chrysler Town,FWD,GREY,111142,I,2C4RC1HGXFR609584,AUTO,17900
2015,Dodge,Grand Caravan Crew Plus FWD,Dodge Grand,FWD,Red,71545,I,2C4RDGDG5FR613161,AUTO,17300
2015,Dodge,Journey SXT FWD,Dodge Journey,FWD,WHITE,48362,I,3C4PDCCG2FT712793,AUTO,18500
2015,Dodge,Journey Canada Value Pkg FWD,Dodge Journey,FWD,Blue,108019,I,3C4PDCAB1FT610814,AUTO,12700
2015,Dodge,Journey Limited FWD,Dodge Journey,FWD,Grey,79465,I,3C4PDCCG1FT716785,AUTO,15700
2015,FIAT,500 Abarth FWD,FIAT 500,FWD,WHITE,70723,I,3C3CFFFH6FT695371,AUTO,14300
2015,FIAT,500L Trekking FWD,FIAT 500L,FWD,Red,51200,I,ZFBCFADH8FZ034082,AUTO,13400
2015,Ford,Escape SE FWD,Ford Escape,FWD,White,99649,I,1FMCU0GX7FUA95397,AUTO,14700
2015,Ford,Explorer XLT 4WD,Ford Explorer,4WD,Black,74076,I,1FM5K8D85FGA00229,AUTO,22300
2015,Ford,Explorer Base 4WD,Ford Explorer,4WD,Black,87974,I,1FM5K8B87FGA79275,AUTO,22200
2015,Ford,Fiesta SE FWD,Ford Fiesta,FWD,Black,64592,I,3FADP4EJXFM209683,AUTO,12995
2015,Ford,Fusion SE FWD,Ford Fusion,FWD,WHITE,48389,I,3FA6P0H72FR216647,AUTO,16700
2015,Ford,Mustang EcoBoost Premium RWD,Ford Mustang,RWD,Grey,77097,I,1FATP8UH3F5372957,AUTO,25100
2015,Honda,Civic Sedan EX FWD,Honda Civic,FWD,Red,63800,I,2HGFB2F5XFH016473,AUTO,14995
2015,Honda,CR-V SE AWD,Honda CR-V,AWD,Grey,67180,I,2HKRM4H46FH112520,AUTO,19900
2015,Hyundai,Accent SE FWD,Hyundai Accent,FWD,Brown,67182,I,KMHCT5AE4FU203479,AUTO,11700
2015,Hyundai,Elantra Sport - Rental FWD,Hyundai Elantra,FWD,Silver,115194,I,KMHDH4AE4FU307678,AUTO,11700
